No.,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd,Total
#0585,Deerling (/pokemon/deerling),normal | grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml) | Serene Grace (/abilitydex/serenegrace.shtml),60,60,50,40,50,75,335
#0586,Sawsbuck (/pokemon/sawsbuck),normal | grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml) | Serene Grace (/abilitydex/serenegrace.shtml),80,100,70,60,70,95,475
#0587,Emolga (/pokemon/emolga),electric | flying,Static (/abilitydex/static.shtml) | Motor Drive (/abilitydex/motordrive.shtml),55,75,60,75,60,103,428
#0588,Karrablast (/pokemon/karrablast),bug,Swarm (/abilitydex/swarm.shtml) | Shed Skin (/abilitydex/shedskin.shtml) | No Guard (/abilitydex/noguard.shtml),50,75,45,40,45,60,315
#0589,Escavalier (/pokemon/escavalier),bug | steel,Swarm (/abilitydex/swarm.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Overcoat (/abilitydex/overcoat.shtml),70,135,105,60,105,20,495
#0590,Foongus (/pokemon/foongus),grass | poison,Effect Spore (/abilitydex/effectspore.shtml) | Regenerator (/abilitydex/regenerator.shtml),69,55,45,55,55,15,294
#0591,Amoonguss (/pokemon/amoonguss),grass | poison,Effect Spore (/abilitydex/effectspore.shtml) | Regenerator (/abilitydex/regenerator.shtml),114,85,70,85,80,30,464
#0592,Frillish (/pokemon/frillish),water | ghost,Water Absorb (/abilitydex/waterabsorb.shtml) | Cursed Body (/abilitydex/cursedbody.shtml) | Damp (/abilitydex/damp.shtml),55,40,50,65,85,40,335
#0593,Jellicent (/pokemon/jellicent),water | ghost,Water Absorb (/abilitydex/waterabsorb.shtml) | Cursed Body (/abilitydex/cursedbody.shtml) | Damp (/abilitydex/damp.shtml),100,60,70,85,105,60,480
#0594,Alomomola (/pokemon/alomomola),water,Healer (/abilitydex/healer.shtml) | Hydration (/abilitydex/hydration.shtml) | Regenerator (/abilitydex/regenerator.shtml),165,75,80,40,45,65,470
#0595,Joltik (/pokemon/joltik),bug | electric,Compoundeyes (/abilitydex/compoundeyes.shtml) | Unnerve (/abilitydex/unnerve.shtml) | Swarm (/abilitydex/swarm.shtml),50,47,50,57,50,65,319
#0596,Galvantula (/pokemon/galvantula),bug | electric,Compoundeyes (/abilitydex/compoundeyes.shtml) | Unnerve (/abilitydex/unnerve.shtml) | Swarm (/abilitydex/swarm.shtml),70,77,60,97,60,108,472
#0597,Ferroseed (/pokemon/ferroseed),grass | steel,Iron Barbs (/abilitydex/ironbarbs.shtml),44,50,91,24,86,10,305
#0598,Ferrothorn (/pokemon/ferrothorn),grass | steel,Iron Barbs (/abilitydex/ironbarbs.shtml) | Anticipation (/abilitydex/anticipation.shtml),74,94,131,54,116,20,489
#0599,Klink (/pokemon/klink),steel,Plus (/abilitydex/plus.shtml) | Minus (/abilitydex/minus.shtml) | Clear Body (/abilitydex/clearbody.shtml),40,55,70,45,60,30,300
#0600,Klang (/pokemon/klang),steel,Plus (/abilitydex/plus.shtml) | Minus (/abilitydex/minus.shtml) | Clear Body (/abilitydex/clearbody.shtml),60,80,95,70,85,50,440
#0601,Klinklang (/pokemon/klinklang),steel,Plus (/abilitydex/plus.shtml) | Minus (/abilitydex/minus.shtml) | Clear Body (/abilitydex/clearbody.shtml),60,100,115,70,85,90,520
#0602,Tynamo (/pokemon/tynamo),electric,Levitate (/abilitydex/levitate.shtml),35,55,40,45,40,60,275
#0603,Eelektrik (/pokemon/eelektrik),electric,Levitate (/abilitydex/levitate.shtml),65,85,70,75,70,40,405
#0604,Eelektross (/pokemon/eelektross),electric,Levitate (/abilitydex/levitate.shtml),85,115,80,105,80,50,515
#0605,Elgyem (/pokemon/elgyem),psychic,Telepathy (/abilitydex/telepathy.shtml) | Synchronize (/abilitydex/synchronize.shtml) | Analytic (/abilitydex/analytic.shtml),55,55,55,85,55,30,335
#0606,Beheeyem (/pokemon/beheeyem),psychic,Telepathy (/abilitydex/telepathy.shtml) | Synchronize (/abilitydex/synchronize.shtml) | Analytic (/abilitydex/analytic.shtml),75,75,75,125,95,40,485
#0607,Litwick (/pokemon/litwick),ghost | fire,Flash Fire (/abilitydex/flashfire.shtml) | Flame Body (/abilitydex/flamebody.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),50,30,55,65,55,20,275
#0608,Lampent (/pokemon/lampent),ghost | fire,Flash Fire (/abilitydex/flashfire.shtml) | Flame Body (/abilitydex/flamebody.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),60,40,60,95,60,55,370
#0609,Chandelure (/pokemon/chandelure),ghost | fire,Flash Fire (/abilitydex/flashfire.shtml) | Flame Body (/abilitydex/flamebody.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),60,55,90,145,90,80,520
#0610,Axew (/pokemon/axew),dragon,Rivalry (/abilitydex/rivalry.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml) | Unnerve (/abilitydex/unnerve.shtml),46,87,60,30,40,57,320
#0611,Fraxure (/pokemon/fraxure),dragon,Rivalry (/abilitydex/rivalry.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml) | Unnerve (/abilitydex/unnerve.shtml),66,117,70,40,50,67,410
#0612,Haxorus (/pokemon/haxorus),dragon,Rivalry (/abilitydex/rivalry.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml) | Unnerve (/abilitydex/unnerve.shtml),76,147,90,60,70,97,540
#0613,Cubchoo (/pokemon/cubchoo),ice,Snow Cloak (/abilitydex/snowcloak.shtml) | Slush Rush (/abilitydex/slushrush.shtml) | Rattled (/abilitydex/rattled.shtml),55,70,40,60,40,40,305
#0614,Beartic (/pokemon/beartic),ice,Snow Cloak (/abilitydex/snowcloak.shtml) | Slush Rush (/abilitydex/slushrush.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),95,130,80,70,80,50,505
#0615,Cryogonal (/pokemon/cryogonal),ice,Levitate (/abilitydex/levitate.shtml),80,50,50,95,135,105,515
#0616,Shelmet (/pokemon/shelmet),bug,Hydration (/abilitydex/hydration.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Overcoat (/abilitydex/overcoat.shtml),50,40,85,40,65,25,305
#0617,Accelgor (/pokemon/accelgor),bug,Hydration (/abilitydex/hydration.shtml) | Sticky Hold (/abilitydex/stickyhold.shtml) | Unburden (/abilitydex/unburden.shtml),80,70,40,100,60,145,495
#0618,Stunfisk (/pokemon/stunfisk),ground | electric,Static (/abilitydex/static.shtml) | Limber (/abilitydex/limber.shtml) | Sand Veil (/abilitydex/sandveil.shtml),109,66,84,81,99,32,471
#0619,Mienfoo (/pokemon/mienfoo),fighting,Inner Focus (/abilitydex/innerfocus.shtml) | Regenerator (/abilitydex/regenerator.shtml) | Reckless (/abilitydex/reckless.shtml),45,85,50,55,50,65,350
#0620,Mienshao (/pokemon/mienshao),fighting,Inner Focus (/abilitydex/innerfocus.shtml) | Regenerator (/abilitydex/regenerator.shtml) | Reckless (/abilitydex/reckless.shtml),65,125,60,95,60,105,510
#0621,Druddigon (/pokemon/druddigon),dragon,Rough Skin (/abilitydex/roughskin.shtml) | Sheer Force (/abilitydex/sheerforce.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml),77,120,90,60,90,48,485
#0622,Golett (/pokemon/golett),ground | ghost,Iron Fist (/abilitydex/ironfist.shtml) | Klutz (/abilitydex/klutz.shtml) | No Guard (/abilitydex/noguard.shtml),59,74,50,35,50,35,303
#0623,Golurk (/pokemon/golurk),ground | ghost,Iron Fist (/abilitydex/ironfist.shtml) | Klutz (/abilitydex/klutz.shtml) | No Guard (/abilitydex/noguard.shtml),89,124,80,55,80,55,483
#0624,Pawniard (/pokemon/pawniard),dark | steel,Defiant (/abilitydex/defiant.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Pressure (/abilitydex/pressure.shtml),45,85,70,40,40,60,340
#0625,Bisharp (/pokemon/bisharp),dark | steel,Defiant (/abilitydex/defiant.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Pressure (/abilitydex/pressure.shtml),65,125,100,60,70,70,490
#0626,Bouffalant (/pokemon/bouffalant),normal,Reckless (/abilitydex/reckless.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml) | Soundproof (/abilitydex/soundproof.shtml),95,110,95,40,95,55,490
#0627,Rufflet (/pokemon/rufflet),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Sheer Force (/abilitydex/sheerforce.shtml) | Hustle (/abilitydex/hustle.shtml),70,83,50,37,50,60,350
#0628,Braviary (/pokemon/braviary),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Sheer Force (/abilitydex/sheerforce.shtml) | Defiant (/abilitydex/defiant.shtml),100,123,75,57,75,80,510
#0629,Vullaby (/pokemon/vullaby),dark | flying,Big Pecks (/abilitydex/bigpecks.shtml) | Overcoat (/abilitydex/overcoat.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),70,55,75,45,65,60,370
#0630,Mandibuzz (/pokemon/mandibuzz),dark | flying,Big Pecks (/abilitydex/bigpecks.shtml) | Overcoat (/abilitydex/overcoat.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),110,65,105,55,95,80,510
#0631,Heatmor (/pokemon/heatmor),fire,Gluttony (/abilitydex/gluttony.shtml) | Flash Fire (/abilitydex/flashfire.shtml) | White Smoke (/abilitydex/whitesmoke.shtml),85,97,66,105,66,65,484
#0632,Durant (/pokemon/durant),bug | steel,Swarm (/abilitydex/swarm.shtml) | Hustle (/abilitydex/hustle.shtml) | Truant (/abilitydex/truant.shtml),58,109,112,48,48,109,484
#0633,Deino (/pokemon/deino),dark | dragon,Hustle (/abilitydex/hustle.shtml),52,65,50,45,50,38,300
#0634,Zweilous (/pokemon/zweilous),dark | dragon,Hustle (/abilitydex/hustle.shtml),72,85,70,65,70,58,420
#0635,Hydreigon (/pokemon/hydreigon),dark | dragon,Levitate (/abilitydex/levitate.shtml),92,105,90,125,90,98,600
#0636,Larvesta (/pokemon/larvesta),bug | fire,Flame Body (/abilitydex/flamebody.shtml) | Swarm (/abilitydex/swarm.shtml),55,85,55,50,55,60,360
#0637,Volcarona (/pokemon/volcarona),bug | fire,Flame Body (/abilitydex/flamebody.shtml) | Swarm (/abilitydex/swarm.shtml),85,60,65,135,105,100,550
#0638,Cobalion (/pokemon/cobalion),steel | fighting,Justified (/abilitydex/justified.shtml),91,90,129,90,72,108,580
#0639,Terrakion (/pokemon/terrakion),rock | fighting,Justified (/abilitydex/justified.shtml),91,129,90,72,90,108,580
#0640,Virizion (/pokemon/virizion),grass | fighting,Justified (/abilitydex/justified.shtml),91,90,72,90,129,108,580
#0641,Tornadus (/pokemon/tornadus),flying,Prankster (/abilitydex/prankster.shtml) | Defiant (/abilitydex/defiant.shtml),79,115,70,125,80,111,580
#0642,Thundurus (/pokemon/thundurus),electric | flying,Prankster (/abilitydex/prankster.shtml) | Defiant (/abilitydex/defiant.shtml),79,115,70,125,80,111,580
#0643,Reshiram (/pokemon/reshiram),dragon | fire,Turboblaze (/abilitydex/turboblaze.shtml),100,120,100,150,120,90,680
#0644,Zekrom (/pokemon/zekrom),dragon | electric,Teravolt (/abilitydex/teravolt.shtml),100,150,120,120,100,90,680
#0645,Landorus (/pokemon/landorus),ground | flying,Sand Force (/abilitydex/sandforce.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),89,125,90,115,80,101,600
#0646,Kyurem (/pokemon/kyurem),dragon | ice,Pressure (/abilitydex/pressure.shtml),125,130,90,130,90,95,660
#0647,Keldeo (/pokemon/keldeo),water | fighting,Justified (/abilitydex/justified.shtml),91,72,90,129,90,108,580
#0648,Meloetta (/pokemon/meloetta),normal | psychic,Serene Grace (/abilitydex/serenegrace.shtml),100,77,77,128,128,90,600
#0649,Genesect (/pokemon/genesect),bug | steel,Download (/abilitydex/download.shtml),71,120,95,120,95,99,600
#0650,Chespin (/pokemon/chespin),grass,Overgrow (/abilitydex/overgrow.shtml) | Bulletproof (/abilitydex/bulletproof.shtml),56,61,65,48,45,38,313
#0651,Quilladin (/pokemon/quilladin),grass,Overgrow (/abilitydex/overgrow.shtml) | Bulletproof (/abilitydex/bulletproof.shtml),61,78,95,56,58,57,405
#0652,Chesnaught (/pokemon/chesnaught),grass | fighting,Overgrow (/abilitydex/overgrow.shtml) | Bulletproof (/abilitydex/bulletproof.shtml),88,107,122,74,75,64,530
#0653,Fennekin (/pokemon/fennekin),fire,Blaze (/abilitydex/blaze.shtml) | Magician (/abilitydex/magician.shtml),40,45,40,62,60,60,307
#0654,Braixen (/pokemon/braixen),fire,Blaze (/abilitydex/blaze.shtml) | Magician (/abilitydex/magician.shtml),59,59,58,90,70,73,409
#0655,Delphox (/pokemon/delphox),fire | psychic,Blaze (/abilitydex/blaze.shtml) | Magician (/abilitydex/magician.shtml),75,69,72,114,100,104,534
#0656,Froakie (/pokemon/froakie),water,Torrent (/abilitydex/torrent.shtml) | Protean (/abilitydex/protean.shtml),41,56,40,62,44,71,314
#0657,Frogadier (/pokemon/frogadier),water,Torrent (/abilitydex/torrent.shtml) | Protean (/abilitydex/protean.shtml),54,63,52,83,56,97,405
#0658,Greninja (/pokemon/greninja),water | dark,Torrent (/abilitydex/torrent.shtml) | Protean (/abilitydex/protean.shtml),72,95,67,103,71,122,530
#0659,Bunnelby (/pokemon/bunnelby),normal,Pickup (/abilitydex/pickup.shtml) | Cheek Pouch (/abilitydex/cheekpouch.shtml) | Huge Power (/abilitydex/hugepower.shtml),38,36,38,32,36,57,237
#0660,Diggersby (/pokemon/diggersby),normal | ground,Pickup (/abilitydex/pickup.shtml) | Cheek Pouch (/abilitydex/cheekpouch.shtml) | Huge Power (/abilitydex/hugepower.shtml),85,56,77,50,77,78,423
#0661,Fletchling (/pokemon/fletchling),normal | flying,Big Pecks (/abilitydex/bigpecks.shtml) | Gale Wings (/abilitydex/galewings.shtml),45,50,43,40,38,62,278
#0662,Fletchinder (/pokemon/fletchinder),fire | flying,Flame Body (/abilitydex/flamebody.shtml) | Gale Wings (/abilitydex/galewings.shtml),62,73,55,56,52,84,382
#0663,Talonflame (/pokemon/talonflame),fire | flying,Flame Body (/abilitydex/flamebody.shtml) | Gale Wings (/abilitydex/galewings.shtml),78,81,71,74,69,126,499
#0664,Scatterbug (/pokemon/scatterbug),bug,Shield Dust (/abilitydex/shielddust.shtml) | Compoundeyes (/abilitydex/compoundeyes.shtml) | Friend Guard (/abilitydex/friendguard.shtml),38,35,40,27,25,35,200
#0665,Spewpa (/pokemon/spewpa),bug,Shed Skin (/abilitydex/shedskin.shtml) | Friend Guard (/abilitydex/friendguard.shtml),45,22,60,27,30,29,213
#0666,Vivillon (/pokemon/vivillon),bug | flying,Shield Dust (/abilitydex/shielddust.shtml) | Compoundeyes (/abilitydex/compoundeyes.shtml) | Friend Guard (/abilitydex/friendguard.shtml),80,52,50,90,50,89,411
#0667,Litleo (/pokemon/litleo),fire | normal,Rivalry (/abilitydex/rivalry.shtml) | Unnerve (/abilitydex/unnerve.shtml) | Moxie (/abilitydex/moxie.shtml),62,50,58,73,54,72,369
#0668,Pyroar (/pokemon/pyroar),fire | normal,Rivalry (/abilitydex/rivalry.shtml) | Unnerve (/abilitydex/unnerve.shtml) | Moxie (/abilitydex/moxie.shtml),86,68,72,109,66,106,507
#0669,Flabébé (/pokemon/flabebe),fairy,Flower Veil (/abilitydex/flowerveil.shtml) | Symbiosis (/abilitydex/symbiosis.shtml),44,38,39,61,79,42,303
#0670,Floette (/pokemon/floette),fairy,Flower Veil (/abilitydex/flowerveil.shtml) | Symbiosis (/abilitydex/symbiosis.shtml),54,45,47,75,98,52,371
#0671,Florges (/pokemon/florges),fairy,Flower Veil (/abilitydex/flowerveil.shtml) | Symbiosis (/abilitydex/symbiosis.shtml),78,65,68,112,154,75,552
#0672,Skiddo (/pokemon/skiddo),grass,Sap Sipper (/abilitydex/sapsipper.shtml) | Grass Pelt (/abilitydex/grasspelt.shtml),66,65,48,62,57,52,350
#0673,Gogoat (/pokemon/gogoat),grass,Sap Sipper (/abilitydex/sapsipper.shtml) | Grass Pelt (/abilitydex/grasspelt.shtml),123,100,62,97,81,68,531
#0674,Pancham (/pokemon/pancham),fighting,Iron Fist (/abilitydex/ironfist.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml) | Scrappy (/abilitydex/scrappy.shtml),67,82,62,46,48,43,348
#0675,Pangoro (/pokemon/pangoro),fighting | dark,Iron Fist (/abilitydex/ironfist.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml) | Scrappy (/abilitydex/scrappy.shtml),95,124,78,69,71,58,495
#0676,Furfrou (/pokemon/furfrou),normal,Fur Coat (/abilitydex/furcoat.shtml),75,80,60,65,90,102,472
#0677,Espurr (/pokemon/espurr),psychic,Keen Eye (/abilitydex/keeneye.shtml) | Infiltrator (/abilitydex/infiltrator.shtml) | Own Tempo (/abilitydex/owntempo.shtml),62,48,54,63,60,68,355
#0678,Meowstic (/pokemon/meowstic),psychic,Keen Eye (/abilitydex/keeneye.shtml) | Infiltrator (/abilitydex/infiltrator.shtml) | Prankster (/abilitydex/prankster.shtml),74,48,76,83,81,104,466
#0679,Honedge (/pokemon/honedge),steel | ghost,No Guard (/abilitydex/noguard.shtml),45,80,100,35,37,28,325
#0680,Doublade (/pokemon/doublade),steel | ghost,No Guard (/abilitydex/noguard.shtml),59,110,150,45,49,35,448
#0681,Aegislash (/pokemon/aegislash),steel | ghost,Stance Change (/abilitydex/stancechange.shtml),60,50,140,50,140,60,500
#0682,Spritzee (/pokemon/spritzee),fairy,Healer (/abilitydex/healer.shtml) | Aroma Veil (/abilitydex/aromaveil.shtml),78,52,60,63,65,23,341
#0683,Aromatisse (/pokemon/aromatisse),fairy,Healer (/abilitydex/healer.shtml) | Aroma Veil (/abilitydex/aromaveil.shtml),101,72,72,99,89,29,462
#0684,Swirlix (/pokemon/swirlix),fairy,Sweet Veil (/abilitydex/sweetveil.shtml) | Unburden (/abilitydex/unburden.shtml),62,48,66,59,57,49,341
#0685,Slurpuff (/pokemon/slurpuff),fairy,Sweet Veil (/abilitydex/sweetveil.shtml) | Unburden (/abilitydex/unburden.shtml),82,80,86,85,75,72,480
#0686,Inkay (/pokemon/inkay),dark | psychic,Contrary (/abilitydex/contrary.shtml) | Suction Cups (/abilitydex/suctioncups.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),53,54,53,37,46,45,288
#0687,Malamar (/pokemon/malamar),dark | psychic,Contrary (/abilitydex/contrary.shtml) | Suction Cups (/abilitydex/suctioncups.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),86,92,88,68,75,73,482
#0688,Binacle (/pokemon/binacle),rock | water,Tough Claws (/abilitydex/toughclaws.shtml) | Sniper (/abilitydex/sniper.shtml) | Pickpocket (/abilitydex/pickpocket.shtml),42,52,67,39,56,50,306
#0689,Barbaracle (/pokemon/barbaracle),rock | water,Tough Claws (/abilitydex/toughclaws.shtml) | Sniper (/abilitydex/sniper.shtml) | Pickpocket (/abilitydex/pickpocket.shtml),72,105,115,54,86,68,500
#0690,Skrelp (/pokemon/skrelp),poison | water,Poison Point (/abilitydex/poisonpoint.shtml) | Poison Touch (/abilitydex/poisontouch.shtml) | Adaptability (/abilitydex/adaptability.shtml),50,60,60,60,60,30,320
#0691,Dragalge (/pokemon/dragalge),poison | dragon,Poison Point (/abilitydex/poisonpoint.shtml) | Poison Touch (/abilitydex/poisontouch.shtml) | Adaptability (/abilitydex/adaptability.shtml),65,75,90,97,123,44,494
#0692,Clauncher (/pokemon/clauncher),water,Mega Launcher (/abilitydex/megalauncher.shtml),50,53,62,58,63,44,330
#0693,Clawitzer (/pokemon/clawitzer),water,Mega Launcher (/abilitydex/megalauncher.shtml),71,73,88,120,89,59,500
#0694,Helioptile (/pokemon/helioptile),electric | normal,Dry Skin (/abilitydex/dryskin.shtml) | Sand Veil (/abilitydex/sandveil.shtml) | Solar Power (/abilitydex/solarpower.shtml),44,38,33,61,43,70,289
#0695,Heliolisk (/pokemon/heliolisk),electric | normal,Dry Skin (/abilitydex/dryskin.shtml) | Sand Veil (/abilitydex/sandveil.shtml) | Solar Power (/abilitydex/solarpower.shtml),62,55,52,109,94,109,481
#0696,Tyrunt (/pokemon/tyrunt),rock | dragon,Strong Jaw (/abilitydex/strongjaw.shtml) | Sturdy (/abilitydex/sturdy.shtml),58,89,77,45,45,48,362
#0697,Tyrantrum (/pokemon/tyrantrum),rock | dragon,Strong Jaw (/abilitydex/strongjaw.shtml) | Rock Head (/abilitydex/rockhead.shtml),82,121,119,69,59,71,521
#0698,Amaura (/pokemon/amaura),rock | ice,Refrigerate (/abilitydex/refrigerate.shtml) | Snow Warning (/abilitydex/snowwarning.shtml),77,59,50,67,63,46,362
#0699,Aurorus (/pokemon/aurorus),rock | ice,Refrigerate (/abilitydex/refrigerate.shtml) | Snow Warning (/abilitydex/snowwarning.shtml),123,77,72,99,92,58,521
#0700,Sylveon (/pokemon/sylveon),fairy,Cute Charm (/abilitydex/cutecharm.shtml) | Pixilate (/abilitydex/pixilate.shtml),95,65,65,110,130,60,525
#0701,Hawlucha (/pokemon/hawlucha),fighting | flying,Limber (/abilitydex/limber.shtml) | Unburden (/abilitydex/unburden.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml),78,92,75,74,63,118,500
#0702,Dedenne (/pokemon/dedenne),electric | fairy,Cheek Pouch (/abilitydex/cheekpouch.shtml) | Pickup (/abilitydex/pickup.shtml) | Plus (/abilitydex/plus.shtml),67,58,57,81,67,101,431
#0703,Carbink (/pokemon/carbink),rock | fairy,Clear Body (/abilitydex/clearbody.shtml) | Sturdy (/abilitydex/sturdy.shtml),50,50,150,50,150,50,500
#0704,Goomy (/pokemon/goomy),dragon,Sap Sipper (/abilitydex/sapsipper.shtml) | Hydration (/abilitydex/hydration.shtml) | Gooey (/abilitydex/gooey.shtml),45,50,35,55,75,40,300
#0705,Sliggoo (/pokemon/sliggoo),dragon,Sap Sipper (/abilitydex/sapsipper.shtml) | Hydration (/abilitydex/hydration.shtml) | Gooey (/abilitydex/gooey.shtml),68,75,53,83,113,60,452
#0706,Goodra (/pokemon/goodra),dragon,Sap Sipper (/abilitydex/sapsipper.shtml) | Hydration (/abilitydex/hydration.shtml) | Gooey (/abilitydex/gooey.shtml),90,100,70,110,150,80,600
#0707,Klefki (/pokemon/klefki),steel | fairy,Prankster (/abilitydex/prankster.shtml) | Magician (/abilitydex/magician.shtml),57,80,91,80,87,75,470
#0708,Phantump (/pokemon/phantump),ghost | grass,Natural Cure (/abilitydex/naturalcure.shtml) | Frisk (/abilitydex/frisk.shtml) | Harvest (/abilitydex/harvest.shtml),43,70,48,50,60,38,309
#0709,Trevenant (/pokemon/trevenant),ghost | grass,Natural Cure (/abilitydex/naturalcure.shtml) | Frisk (/abilitydex/frisk.shtml) | Harvest (/abilitydex/harvest.shtml),85,110,76,65,82,56,474
#0710,Pumpkaboo (/pokemon/pumpkaboo),ghost | grass,Pickup (/abilitydex/pickup.shtml) | Frisk (/abilitydex/frisk.shtml) | Insomnia (/abilitydex/insomnia.shtml),49,66,70,44,55,51,335
#0711,Gourgeist (/pokemon/gourgeist),ghost | grass,Pickup (/abilitydex/pickup.shtml) | Frisk (/abilitydex/frisk.shtml) | Insomnia (/abilitydex/insomnia.shtml),65,90,122,58,75,84,494
#0712,Bergmite (/pokemon/bergmite),ice,Own Tempo (/abilitydex/owntempo.shtml) | Ice Body (/abilitydex/icebody.shtml) | Sturdy (/abilitydex/sturdy.shtml),55,69,85,32,35,28,304
#0713,Avalugg (/pokemon/avalugg),ice,Own Tempo (/abilitydex/owntempo.shtml) | Ice Body (/abilitydex/icebody.shtml) | Sturdy (/abilitydex/sturdy.shtml),95,117,184,44,46,28,514
#0714,Noibat (/pokemon/noibat),flying | dragon,Frisk (/abilitydex/frisk.shtml) | Infiltrator (/abilitydex/infiltrator.shtml) | Telepathy (/abilitydex/telepathy.shtml),40,30,35,45,40,55,245
#0715,Noivern (/pokemon/noivern),flying | dragon,Frisk (/abilitydex/frisk.shtml) | Infiltrator (/abilitydex/infiltrator.shtml) | Telepathy (/abilitydex/telepathy.shtml),85,70,80,97,80,123,535
#0716,Xerneas (/pokemon/xerneas),fairy,Fairy Aura (/abilitydex/fairyaura.shtml),126,131,95,131,98,99,680
#0717,Yveltal (/pokemon/yveltal),dark | flying,Dark Aura (/abilitydex/darkaura.shtml),126,131,95,131,98,99,680
#0718,Zygarde (/pokemon/zygarde),dragon | ground,Aura Break (/abilitydex/aurabreak.shtml),108,100,121,81,95,95,600
#0719,Diancie (/pokemon/diancie),rock | fairy,Clear Body (/abilitydex/clearbody.shtml),50,100,150,100,150,50,600
#0720,Hoopa (/pokemon/hoopa),psychic | ghost,Magician (/abilitydex/magician.shtml),80,110,60,150,130,70,600
#0721,Volcanion (/pokemon/volcanion),fire | water,Water Absorb (/abilitydex/waterabsorb.shtml),80,110,120,130,90,70,600
#0722,Rowlet (/pokemon/rowlet),grass | flying,Overgrow (/abilitydex/overgrow.shtml) | Long Reach (/abilitydex/longreach.shtml),68,55,55,50,50,42,320
#0723,Dartrix (/pokemon/dartrix),grass | flying,Overgrow (/abilitydex/overgrow.shtml) | Long Reach (/abilitydex/longreach.shtml),78,75,75,70,70,52,420
#0724,Decidueye (/pokemon/decidueye),grass | ghost,Overgrow (/abilitydex/overgrow.shtml) | Long Reach (/abilitydex/longreach.shtml),78,107,75,100,100,70,530
#0725,Litten (/pokemon/litten),fire,Blaze (/abilitydex/blaze.shtml) | Intimidate (/abilitydex/intimidate.shtml),45,65,40,60,40,70,320
#0726,Torracat (/pokemon/torracat),fire,Blaze (/abilitydex/blaze.shtml) | Intimidate (/abilitydex/intimidate.shtml),65,85,50,80,50,90,420
#0727,Incineroar (/pokemon/incineroar),fire | dark,Blaze (/abilitydex/blaze.shtml) | Intimidate (/abilitydex/intimidate.shtml),95,115,90,80,90,60,530
#0728,Popplio (/pokemon/popplio),water,Torrent (/abilitydex/torrent.shtml) | Liquid Voice (/abilitydex/liquidvoice.shtml),50,54,54,66,56,40,320
#0729,Brionne (/pokemon/brionne),water,Torrent (/abilitydex/torrent.shtml) | Liquid Voice (/abilitydex/liquidvoice.shtml),60,69,69,91,81,50,420
#0730,Primarina (/pokemon/primarina),water | fairy,Torrent (/abilitydex/torrent.shtml) | Liquid Voice (/abilitydex/liquidvoice.shtml),80,74,74,126,116,60,530
#0731,Pikipek (/pokemon/pikipek),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Skill Link (/abilitydex/skilllink.shtml) | Pickup (/abilitydex/pickup.shtml),35,75,30,30,30,65,265
#0732,Trumbeak (/pokemon/trumbeak),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Skill Link (/abilitydex/skilllink.shtml) | Pickup (/abilitydex/pickup.shtml),55,85,50,40,50,75,355
#0733,Toucannon (/pokemon/toucannon),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Skill Link (/abilitydex/skilllink.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),80,120,75,75,75,60,485
#0734,Yungoos (/pokemon/yungoos),normal,Stakeout (/abilitydex/stakeout.shtml) | Strong Jaw (/abilitydex/strongjaw.shtml) | Adaptability (/abilitydex/adaptability.shtml),48,70,30,30,30,45,253
#0735,Gumshoos (/pokemon/gumshoos),normal,Stakeout (/abilitydex/stakeout.shtml) | Strong Jaw (/abilitydex/strongjaw.shtml) | Adaptability (/abilitydex/adaptability.shtml),88,110,60,55,60,45,418
#0736,Grubbin (/pokemon/grubbin),bug,Swarm (/abilitydex/swarm.shtml),47,62,45,55,45,46,300
